date,Yen_per_Dollar
1975-01-01,299.684545454545
1975-02-01,291.658333333333
1975-03-01,287.948571428571
1975-04-01,292.196818181818
1975-05-01,291.430476190476
1975-06-01,293.46619047619
1975-07-01,296.374090909091
1975-08-01,297.97619047619
1975-09-01,299.909047619048
1975-10-01,302.336363636364
1975-11-01,302.545294117647
1975-12-01,305.67
1976-01-01,304.635714285714
1976-02-01,301.594444444444
1976-03-01,300.518260869565
1976-04-01,299.108636363636
1976-05-01,299.004
1976-06-01,299.190909090909
1976-07-01,294.640952380952
1976-08-01,290.625909090909
1976-09-01,287.360952380952
1976-10-01,291.189
1976-11-01,295.165263157895
1976-12-01,294.701739130435
1977-01-01,291.052380952381
1977-02-01,285.022105263158
1977-03-01,280.22652173913
1977-04-01,275.207142857143
1977-05-01,277.42619047619
1977-06-01,272.860909090909
1977-07-01,264.863157894737
1977-08-01,266.677391304348
1977-09-01,266.77
1977-10-01,254.7445
1977-11-01,244.702631578947
1977-12-01,241.022857142857
1978-01-01,241.080952380952
1978-02-01,240.372222222222
1978-03-01,231.857391304348
1978-04-01,221.857
1978-05-01,226.178636363636
1978-06-01,214.106363636364
1978-07-01,199.6955
1978-08-01,188.709565217391
1978-09-01,189.9195
1978-10-01,183.630952380952
1978-11-01,192.1425
1978-12-01,195.955
1979-01-01,197.755
1979-02-01,200.507222222222
1979-03-01,206.323636363636
1979-04-01,216.285238095238
1979-05-01,218.414090909091
1979-06-01,218.596666666667
1979-07-01,216.51
1979-08-01,217.925652173913
1979-09-01,222.413684210526
1979-10-01,230.484545454545
1979-11-01,244.984210526316
1979-12-01,240.3745
1980-01-01,237.888636363636
1980-02-01,244.35
1980-03-01,248.478571428571
1980-04-01,250.275
1980-05-01,228.628571428571
1980-06-01,217.917619047619
1980-07-01,221.136363636364
1980-08-01,223.91380952381
1980-09-01,214.416666666667
1980-10-01,209.322727272727
1980-11-01,213.105882352941
1980-12-01,209.488636363636
1981-01-01,202.366666666667
1981-02-01,205.716666666667
1981-03-01,208.791818181818
1981-04-01,214.975909090909
1981-05-01,220.6285
1981-06-01,224.180454545455
1981-07-01,232.326086956522
1981-08-01,233.32619047619
1981-09-01,229.480952380952
1981-10-01,231.519047619048
1981-11-01,223.126666666667
1981-12-01,218.954545454545
1982-01-01,224.805
1982-02-01,235.305555555556
1982-03-01,241.228260869565
1982-04-01,244.106818181818
1982-05-01,236.9635
1982-06-01,251.197727272727
1982-07-01,255.030952380952
1982-08-01,259.045454545455
1982-09-01,263.285714285714
1982-10-01,271.615
1982-11-01,264.087894736842
1982-12-01,241.941304347826
1983-01-01,232.730952380952
1983-02-01,236.121052631579
1983-03-01,238.254347826087
1983-04-01,237.746666666667
1983-05-01,234.755714285714
1983-06-01,240.031363636364
1983-07-01,240.516
1983-08-01,244.461304347826
1983-09-01,242.34619047619
1983-10-01,232.8855
1983-11-01,235.03
1983-12-01,234.462380952381
1984-01-01,233.8
1984-02-01,233.596315789474
1984-03-01,225.266363636364
1984-04-01,225.2
1984-05-01,230.477727272727
1984-06-01,233.565714285714
1984-07-01,243.067619047619
1984-08-01,242.260869565217
1984-09-01,245.456842105263
1984-10-01,246.754545454545
1984-11-01,243.630526315789
1984-12-01,247.964
1985-01-01,254.182857142857
1985-02-01,260.477777777778
1985-03-01,257.920476190476
1985-04-01,251.845454545455
1985-05-01,251.729545454545
1985-06-01,248.84
1985-07-01,241.136363636364
1985-08-01,237.460909090909
1985-09-01,236.5275
1985-10-01,214.680454545455
1985-11-01,204.073684210526
1985-12-01,202.788095238095
1986-01-01,199.890476190476
1986-02-01,184.851578947368
